atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_O,DDD_oral_aerosol,DDD_P,DDD_R,DDD_SL,DDD_TD,unit_O,unit_oral_aerosol,unit_P,unit_R,unit_SL,unit_TD
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX06,hexobendine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX07,etafenone,NA,0.225,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX08,heptaminol,NA,0.45,NA,0.45,NA,NA,NA,g,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX09,imolamine,NA,90,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX10,dilazep,NA,0.1,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX11,trapidil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX12,molsidomine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX13,efloxate,NA,0.2,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX14,cinepazet,NA,0.9,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX15,cloridarol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX16,nicorandil,NA,40,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX18,linsidomine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX19,nesiritide,NA,NA,NA,1.5,NA,NA,NA,NA,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX21,serelaxin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX22,vericiguat,NA,10,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX51,"itramin tosilate, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX52,"prenylamine, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX53,"oxyfedrine, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,NA,C01DX54,"benziodarone, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EA,Prostaglandins,The DDD for alprostadil equals the content of active substance in one ampoule.,C01EA01,alprostadil,NA,NA,NA,0.5,NA,NA,NA,NA,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB02,camphora,NA,0.15,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB03,indometacin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB04,crataegus glycosides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB05,creatinolfosfate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB06,fosfocreatine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB07,"fructose 1,6-diphosphate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB09,ubidecarenone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB10,adenosine,NA,NA,NA,15,NA,NA,NA,NA,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB11,tiracizine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB13,acadesine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB15,trimetazidine,NA,40,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB16,ibuprofen,NA,NA,NA,30,NA,NA,NA,NA,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB17,ivabradine,NA,10,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB18,ranolazine,NA,1.5,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB21,regadenoson,NA,NA,NA,0.4,NA,NA,NA,NA,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB22,meldonium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB23,tiazotic acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EB,Other cardiac preparations,The DDD for ibuprofen is based on the course dose.,C01EB24,mavacamten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01E,OTHER CARDIAC PREPARATIONS,C01EX,Other cardiac combination products,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AA,Rauwolfia alkaloids,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AA01,rescinnamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AA,Rauwolfia alkaloids,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AA02,reserpine,NA,0.5,NA,0.5,NA,NA,NA,mg,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AA,Rauwolfia alkaloids,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AA03,combinations of rauwolfia alkaloids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AA,Rauwolfia alkaloids,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AA04,"rauwolfia alkaloids, whole root",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AA,Rauwolfia alkaloids,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AA05,deserpidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AA,Rauwolfia alkaloids,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AA06,methoserpidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AA,Rauwolfia alkaloids,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AA07,bietaserpine,NA,15,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AA,Rauwolfia alkaloids,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AA52,"reserpine, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AA,Rauwolfia alkaloids,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AA53,"combinations of rauwolfia alkoloids, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AA,Rauwolfia alkaloids,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AA57,"bietaserpine, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AB,Methyldopa,"The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule). Different DDDs have been established for the various stereoiso-meric forms of methyldopa, because of different potency.",C02AB01,methyldopa (levorotatory),NA,1,NA,1,NA,NA,NA,g,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AB,Methyldopa,"The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule). Different DDDs have been established for the various stereoiso-meric forms of methyldopa, because of different potency.",C02AB02,methyldopa (racemic),NA,2,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AC,Imidazoline receptor agonists,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AC01,clonidine,NA,0.45,NA,0.45,NA,NA,NA,mg,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AC,Imidazoline receptor agonists,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AC02,guanfacine,NA,3,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AC,Imidazoline receptor agonists,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AC04,tolonidine,NA,0.75,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AC,Imidazoline receptor agonists,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AC05,moxonidine,NA,0.3,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AC,Imidazoline receptor agonists,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02AC06,rilmenidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02B,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING",C02BA,Sulfonium derivatives,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02BA01,trimetaphan,NA,NA,NA,0.25,NA,NA,NA,NA,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02B,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING",C02BB,Secondary and tertiary amines,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02BB01,mecamylamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02B,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING",C02BC,Bisquaternary ammonium compounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CA,Alpha-adrenoreceptor antagonists,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02CA01,prazosin,NA,5,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CA,Alpha-adrenoreceptor antagonists,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02CA02,indoramin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CA,Alpha-adrenoreceptor antagonists,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02CA03,trimazosin,NA,0.3,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CA,Alpha-adrenoreceptor antagonists,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02CA04,doxazosin,NA,4,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CA,Alpha-adrenoreceptor antagonists,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02CA06,urapidil,NA,0.12,NA,50,NA,NA,NA,g,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CC,Guanidine derivatives,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02CC01,betanidine,NA,0.1,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CC,Guanidine derivatives,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02CC02,guanethidine,NA,30,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CC,Guanidine derivatives,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02CC03,guanoxan,NA,20,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CC,Guanidine derivatives,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02CC04,debrisoquine,NA,20,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CC,Guanidine derivatives,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02CC05,guanoclor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CC,Guanidine derivatives,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02CC06,guanazodine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CC,Guanidine derivatives,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02CC07,guanoxabenz,NA,25,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02D,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",C02DA,Thiazide derivatives,The oral DDDs are based on the average doses needed to reduce the blood pressure to a normal level in patients with mild-moderate hypertension.Parenteral DDDs are based on dosages used for the treatment of hypertensive crises and are based on the content of the active ingredient pr. vial (ampoule).,C02DA01,diazoxide,NA,NA,NA,0.3,NA,NA,NA,NA,NA,g,NA,NA,NA
