atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_N,DDD_O,DDD_P,DDD_SL,unit_N,unit_O,unit_P,unit_SL
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02C,ANTIADRENAL PREPARATIONS,H02CA,Anticorticosteroids,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDD of trilostan is based on the treatment of Cushings syndrome.,H02CA04,levoketoconazole,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03A,THYROID PREPARATIONS,H03AA,Thyroid hormones,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hypothyrosis.,H03AA01,levothyroxine sodium,NA,NA,0.15,0.15,NA,NA,mg,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03A,THYROID PREPARATIONS,H03AA,Thyroid hormones,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hypothyrosis.,H03AA02,liothyronine sodium,NA,NA,60,60,NA,NA,mcg,mcg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03A,THYROID PREPARATIONS,H03AA,Thyroid hormones,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hypothyrosis.,H03AA03,combinations of levothyroxine and liothyronine,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03A,THYROID PREPARATIONS,H03AA,Thyroid hormones,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hypothyrosis.,H03AA04,tiratricol,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03A,THYROID PREPARATIONS,H03AA,Thyroid hormones,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hypothyrosis.,H03AA05,thyroid gland preparations,NA,NA,0.1,NA,NA,NA,g,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03A,THYROID PREPARATIONS,H03AA,Thyroid hormones,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hypothyrosis.,H03AA51,levothyroxine sodium and iodine compounds,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03B,ANTITHYROID PREPARATIONS,H03BA,Thiouracils,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hyperthyrosis.,H03BA01,methylthiouracil,NA,NA,0.1,NA,NA,NA,g,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03B,ANTITHYROID PREPARATIONS,H03BA,Thiouracils,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hyperthyrosis.,H03BA02,propylthiouracil,NA,NA,0.1,NA,NA,NA,g,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03B,ANTITHYROID PREPARATIONS,H03BA,Thiouracils,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hyperthyrosis.,H03BA03,benzylthiouracil,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03B,ANTITHYROID PREPARATIONS,H03BB,Sulfur-containing imidazole derivatives,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hyperthyrosis.,H03BB01,carbimazole,NA,NA,15,NA,NA,NA,mg,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03B,ANTITHYROID PREPARATIONS,H03BB,Sulfur-containing imidazole derivatives,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hyperthyrosis.,H03BB02,thiamazole,NA,NA,10,NA,NA,NA,mg,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03B,ANTITHYROID PREPARATIONS,H03BB,Sulfur-containing imidazole derivatives,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hyperthyrosis.,H03BB52,"thiamazole, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03B,ANTITHYROID PREPARATIONS,H03BC,Perchlorates,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hyperthyrosis.,H03BC01,potassium perchlorate,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03B,ANTITHYROID PREPARATIONS,H03BX,Other antithyroid preparations,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hyperthyrosis.,H03BX01,diiodotyrosine,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03B,ANTITHYROID PREPARATIONS,H03BX,Other antithyroid preparations,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of hyperthyrosis.,H03BX02,dibromotyrosine,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03,THYROID THERAPY,H03C,IODINE THERAPY,H03CA,Iodine therapy,NA,H03CA,Iodine therapy,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H04,PANCREATIC HORMONES,H04A,GLYCOGENOLYTIC HORMONES,H04AA,Glycogenolytic hormones,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDD of glucagon is based on single dose treatment of hypoglycemia.,H04AA01,glucagon,NA,3,NA,1,NA,mg,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H04,PANCREATIC HORMONES,H04A,GLYCOGENOLYTIC HORMONES,H04AA,Glycogenolytic hormones,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDD of glucagon is based on single dose treatment of hypoglycemia.,H04AA02,dasiglucagon,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05A,PARATHYROID HORMONES AND ANALOGUES,H05AA,Parathyroid hormones and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders.,H05AA01,parathyroid gland extract,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05A,PARATHYROID HORMONES AND ANALOGUES,H05AA,Parathyroid hormones and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders.,H05AA02,teriparatide,NA,NA,NA,20,NA,NA,NA,mcg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05A,PARATHYROID HORMONES AND ANALOGUES,H05AA,Parathyroid hormones and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders.,H05AA03,parathyroid hormone,NA,NA,NA,0.1,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05A,PARATHYROID HORMONES AND ANALOGUES,H05AA,Parathyroid hormones and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders.,H05AA04,abaloparatide,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05A,PARATHYROID HORMONES AND ANALOGUES,H05AA,Parathyroid hormones and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders.,H05AA05,palopegteriparatide,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05B,ANTI-PARATHYROID AGENTS,H05BA,Calcitonin preparations,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs of the calcitonins are based on the treatment of Pagets disease.,H05BA01,calcitonin (salmon synthetic),NA,200,NA,100,NA,U,NA,U,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05B,ANTI-PARATHYROID AGENTS,H05BA,Calcitonin preparations,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs of the calcitonins are based on the treatment of Pagets disease.,H05BA02,calcitonin (pork natural),NA,NA,NA,100,NA,NA,NA,U,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05B,ANTI-PARATHYROID AGENTS,H05BA,Calcitonin preparations,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs of the calcitonins are based on the treatment of Pagets disease.,H05BA03,calcitonin (human synthetic),NA,NA,NA,100,NA,NA,NA,U,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05B,ANTI-PARATHYROID AGENTS,H05BA,Calcitonin preparations,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs of the calcitonins are based on the treatment of Pagets disease.,H05BA04,elcatonin,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05B,ANTI-PARATHYROID AGENTS,H05BX,Other anti-parathyroid agents,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs for cinacalcet and evocalcet are based on the treatment of secondary hyperparathyroidism.,H05BX01,cinacalcet,NA,NA,60,NA,NA,NA,mg,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05B,ANTI-PARATHYROID AGENTS,H05BX,Other anti-parathyroid agents,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs for cinacalcet and evocalcet are based on the treatment of secondary hyperparathyroidism.,H05BX02,paricalcitol,NA,NA,2,2,NA,NA,mcg,mcg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05B,ANTI-PARATHYROID AGENTS,H05BX,Other anti-parathyroid agents,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs for cinacalcet and evocalcet are based on the treatment of secondary hyperparathyroidism.,H05BX03,doxercalciferol,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05B,ANTI-PARATHYROID AGENTS,H05BX,Other anti-parathyroid agents,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs for cinacalcet and evocalcet are based on the treatment of secondary hyperparathyroidism.,H05BX04,etelcalcetide,NA,NA,NA,2.1,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05B,ANTI-PARATHYROID AGENTS,H05BX,Other anti-parathyroid agents,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs for cinacalcet and evocalcet are based on the treatment of secondary hyperparathyroidism.,H05BX05,calcifediol,NA,NA,30,NA,NA,NA,mcg,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05B,ANTI-PARATHYROID AGENTS,H05BX,Other anti-parathyroid agents,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs for cinacalcet and evocalcet are based on the treatment of secondary hyperparathyroidism.,H05BX06,evocalcet,NA,NA,2.5,NA,NA,NA,mg,NA,NA
